ac83dea0-52d2-11e3-946d-7128789e1a3e,13560140752,STARTED,hazel,14724683015,
ac8405b0-52d2-11e3-946d-7128789e1a3e,13595897525,STARTED,hazel,61298892912,
ac8d5480-52d2-11e3-b903-8dd148374767,14256843453,STARTED,hazel,,
ac8d2d70-52d2-11e3-b903-8dd148374767,14260374067,STARTED,hazel,,
ad0d32e0-52d2-11e3-87a9-81a89d2f990b,14496638092,STARTED,hazel,46574209897,
ad0d32e1-52d2-11e3-87a9-81a89d2f990b,14500166000,STARTED,hazel,,
b0042bc0-52d2-11e3-a117-bb04ca3f8922,16563513153,STARTED,hazel,,
b00404b0-52d2-11e3-a117-bb04ca3f8922,16563891078,STARTED,hazel,,
ac83dea0-52d2-11e3-946d-7128789e1a3e,36247875496,FINISHED,hazel,,
ac8405b0-52d2-11e3-946d-7128789e1a3e,36530786921,FINISHED,hazel,,
ac8d2d70-52d2-11e3-b903-8dd148374767,49351695983,FINISHED,hazel,,
ac8d5480-52d2-11e3-b903-8dd148374767,55844868475,FINISHED,hazel,,
ad0d32e0-52d2-11e3-87a9-81a89d2f990b,71298407087,FINISHED,hazel,,
ad0d32e1-52d2-11e3-87a9-81a89d2f990b,73427464283,FINISHED,hazel,,
b00404b0-52d2-11e3-a117-bb04ca3f8922,80698790080,FINISHED,hazel,,
b0042bc0-52d2-11e3-a117-bb04ca3f8922,86991254970,FINISHED,hazel,,73431114218
