37784280913,689,,,
37857903219,554,,,
38807295478,528,,,
38817559469,408,,,
38893935199,661,,,
39825013264,823,,,
39874331380,513,,57663273173,19878992260
39901307609,440,,,
40830961677,1298,,,
40891683643,979,,,
40908467549,863,,,
41837150221,1124,,,
41899789103,1367,,,
41913587307,1314,,,
42370600331,1350,,,
42844742574,1131,,,
42915571278,1122,,,
42920277717,1127,,,
43549063492,1123,,,
43852359454,1146,,,
43923401220,1135,,,
43929008520,1124,,,
44557714336,1150,,,
44858400818,883,,,
44934346330,1084,,,
44935797985,1129,,,
45576255924,958,,,
45864609014,671,,,
45942935060,795,,,
45942949370,862,,,
46584291912,707,,,
46870616511,323,,,
46950734224,568,,,
46952058211,646,,,
47591706801,416,,,
47878287642,323,,,
47959922957,177,,,
47960871256,273,,,
48598791975,245,,,
48884568584,727,,,
48966970014,428,,,
49037171915,372,,,
49607977645,599,,,
49890398706,1108,,,
49974900834,895,,,
50044167881,813,,,
50614685250,1055,,,
50897300326,1052,,,
50982293057,1135,,,
51063741977,1131,,,
51622933917,1068,,,
51902800408,923,,,
51990269785,1022,,,
52069870746,1039,,,
52628133516,952,,,
52909109128,1056,,,
52996971959,960,,,
53077092816,935,,,
53635016418,1047,,,
54003906303,973,,,
54157071597,999,,,
54643780513,794,,,
55014615951,572,,,
55163096920,603,,,
55649102598,412,,,
56020313371,260,,,
56654374310,155,,,
57663273173,5,,,
