"15265242588","74"
"11374025664","38"
"16941362958","100"
"11797967843","72"
"11797306398","72"
"10319256754","124"
"15007753899","80"
"12160810131","50"
"11702266696","39"
"9810276161","116"
"11260850142","35"
"12370478966","54"
"10411214278","84"
"15070234601","63"
"13172120703","87"
"9234008549","17"
"15264937145","74"
"8094162742","104"
"9159309480","15"
"11448129975","3"
"9811892259","116"
"11451384582","3"
"11796736389","72"
"10997881921","16"
"10418299983","84"
"15637845518","76"
"14829782541","79"
"11894642702","51"
"10392897253","92"
"11221874300","18"
"15405891799","68"
"11306403456","43"
"11003196058","34"
"16778084858","98"
"11755280731","49"
"9820519323","128"
"10790516862","14"
"9764343935","107"
"11549044430","37"
"11318896637","20"
"9888371571","7"
"18017694390","96"
"11273921608","19"
"11781890086","55"
"16876182369","99"
"18017064960","96"
"12879692216","85"
"10840482462","41"
"10807278843","10"
"8094937741","104"
"11484728419","21"
"11597283994","30"
"9819260761","128"
"11305354708","112"
"9881978075","6"
"11912340960","40"
"18019352074","96"
"8094560850","104"
"10343760755","120"
"10393050874","92"
"15288388884","64"
"10939510195","33"
"15041989623","66"
"12486294863","56"
"14884967169","62"
"10344059719","120"
"10695475791","9"
"12948838763","86"
"11376361075","27"
"10411664238","84"
"9764730370","107"
"10902280175","42"
"15434668068","75"
"8093738135","104"
"12075295266","60"
"11475908381","4"
"10627522283","28"
"10344580995","120"
"9819728891","128"
"9820132248","128"
"11104063666","23"
"10767046890","13"
"11637348962","53"
"9811163054","116"
"11707173175","25"
"10320162900","124"
"11422957496","58"
"10392130087","92"
"9769435071","108"
"10320642500","124"
"10977060830","32"
"11961588772","47"
"9897338584","26"
"11163767891","24"
"14697452048","78"
"9687246214","22"
"9903020739","8"
"10342475825","120"
"11335210349","57"
"9811345117","116"
"11306178613","112"
"15042277952","66"
"11129884523","52"
"10414986341","84"
"10393434850","92"
"18018887115","96"
"9884385515","7"
"10934134481","48"
"11411037469","44"
"10729770983","30"
"10319975304","124"
"13515644429","88"
"11542172194","46"
"11797468688","72"
"10970332838","31"
"11284602030","45"
"11548546238","37"
"11444316179","3"
"14697897491","78"
"15197860383","67"
"16778309350","98"
"11305796666","112"
"11120039745","12"
"14884516207","62"
"11023573345","11"
"11306656843","112"
"11963434595","59"
"9763891564","107"
